date,Sales
2013-01-01,2886617.06
2013-02-01,2481817.06
2013-03-01,2824651.18
2013-04-01,3149451.18
2013-05-01,3389234.12
2013-06-01,3242034.12
2013-07-01,4125885.3
2013-08-01,3235200
2013-09-01,3654834.12
2013-10-01,3884068.24
2013-11-01,4186034.12
2013-12-01,4119051.18
2014-01-01,4923931.18
2014-02-01,4632222.36
2014-03-01,4400651.18
2014-04-01,5183051.18
2014-05-01,5381451.18
2014-06-01,5683851.18
2014-07-01,5962468.24
2014-08-01,5462834.12
2014-09-01,5957017.06
2014-10-01,6082685.3
2014-11-01,5685958.62
2014-12-01,6697739.19
2015-01-01,6876800
2015-02-01,5830160
2015-03-01,7249320
2015-04-01,6355200
2015-05-01,6339200
2015-06-01,6897600
2015-07-01,7364800
2015-08-01,5963200
2015-09-01,6969600
2015-10-01,6651440
2015-11-01,7305600
2015-12-01,6792000
2016-01-01,7357600
2016-02-01,6409600
2016-03-01,7486400
