date,Sales
2013-01-01,102099379.62
2013-02-01,84842517.76
2013-03-01,89361828.01
2013-04-01,101967337.54
2013-05-01,106206108.47
2013-06-01,87354790.74
2013-07-01,116621380.4
2013-08-01,92815044.56
2013-09-01,95443197.29
2013-10-01,105728683.9
2013-11-01,97751521.91
2013-12-01,79762349.52
2014-01-01,126392597
2014-02-01,87692705.1
2014-03-01,100288371.7
2014-04-01,103343650.46
2014-05-01,103558962.1
2014-06-01,122389191.65
2014-07-01,135272008.3
2014-08-01,118529700.3
2014-09-01,131388182.2
2014-10-01,137179852.7
2014-11-01,118722701.85
2014-12-01,143783400.8
2015-01-01,135852658.34
2015-02-01,124282130.48
2015-03-01,156206539.06
2015-04-01,156009510.9
2015-05-01,137280912.72
2015-06-01,190510793.24
2015-07-01,128295134.26
2015-08-01,170918889.42
2015-09-01,177467349.48
2015-10-01,162842115.44
2015-11-01,171791034.37
2015-12-01,199352514.68
2016-01-01,127252898.79
2016-02-01,176533651.84
2016-03-01,196029706.6
