date,Sales
2013-01-01,34346025
2013-02-01,32005575
2013-03-01,32530050
2013-04-01,35588700
2013-05-01,38789100
2013-06-01,36196650
2013-07-01,37133775
2013-08-01,35311500
2013-09-01,38437875
2013-10-01,44397675
2013-11-01,45525375
2013-12-01,33610500
2014-01-01,44600850
2014-02-01,41562675
2014-03-01,36957375
2014-04-01,43447950
2014-05-01,40863375
2014-06-01,40376700
2014-07-01,43458975
2014-08-01,41302800
2014-09-01,43824375
2014-10-01,43777125
2014-11-01,42375375
2014-12-01,44243325
2015-01-01,46580625
2015-02-01,33068700
2015-03-01,37864575
2015-04-01,35172900
2015-05-01,35565075
2015-06-01,41756400
2015-07-01,33115950
2015-08-01,23892750
2015-09-01,24914925
2015-10-01,16537500
2015-11-01,14776650
2015-12-01,15008175
2016-01-01,14740425
2016-02-01,11214000
2016-03-01,15016050
2016-04-01,0
2016-05-01,0
2016-06-01,0
2016-07-01,0
2016-08-01,0
2016-09-01,0
2016-10-01,0
2016-11-01,0
2016-12-01,0
2017-01-01,0
2017-02-01,0
2017-03-01,0
