date,Sales
2013-01-01,314850.13
2013-02-01,435185.52
2013-03-01,268694.09
2013-04-01,461560.4
2013-05-01,464857.26
2013-06-01,403865.35
2013-07-01,669262.58
2013-08-01,479693.13
2013-09-01,563763.06
2013-10-01,598380.09
2013-11-01,509364.87
2013-12-01,558817.77
2014-01-01,621458.11
2014-02-01,743441.93
2014-03-01,565411.49
2014-04-01,914878.65
2014-05-01,778058.96
2014-06-01,555981.9
2014-07-01,1213244.48
2014-08-01,665965.72
2014-09-01,807730.7
2014-10-01,809379.13
2014-11-01,1078073.22
2014-12-01,1160494.72
2015-01-01,768168.38
2015-02-01,928065.25
2015-03-01,1051698.34
2015-04-01,1152252.57
2015-05-01,974222.13
2015-06-01,1130822.98
2015-07-01,1368196.9
2015-08-01,1213244.48
2015-09-01,847293.02
2015-10-01,1264345.81
2015-11-01,1162143.15
2015-12-01,1856431.89
2016-01-01,972174.24
2016-02-01,1088720.65
2016-03-01,1427758.49
