date,Sales,
2013-01-01,2751851.48,1726.646
2013-02-01,2804313.12,1791.906
2013-03-01,2573004.98,50045.629
2013-04-01,3436237.42,16108.134
2013-05-01,3772468.84,2051.441
2013-06-01,3712853.34,382.373
2013-07-01,3791545.8,2073.093
2013-08-01,3698545.62,1865.91
2013-09-01,3979930.78,46030.221
2013-10-01,4514085.66,16242.067
2013-11-01,5258087.1,2594.987
2013-12-01,4010930.84,345.228
2014-01-01,4821701.64,1912.824
2014-02-01,4044315.52,2030.454
2014-03-01,5033932.82,42643.547
2014-04-01,5067317.5,11144.301
2014-05-01,5792241.98,1774.795
2014-06-01,6033088.6,369.268
2014-07-01,5594318.52,1938.385
2014-08-01,5367779.62,2010.004
2014-09-01,5618164.72,37461.862
2014-10-01,6459935.58,15316.88
2014-11-01,6433704.76,2218.769
2014-12-01,5799395.84,371.712
2015-01-01,5899549.88,1945.826
2015-02-01,6400320.08,2367.68
2015-03-01,6517166.46,53041.901
2015-04-01,6727013.02,14746.595
2015-05-01,6040242.46,1763.443
2015-06-01,6865320.98,398.04
2015-07-01,7668937.92,2191.435
2015-08-01,6512397.22,2247.186
2015-09-01,7208706.26,33749.332
2015-10-01,7447168.26,12998.792
2015-11-01,7840630.56,2222.233
2015-12-01,6431320.14,342.252
2016-01-01,7535399.2,2191.868
2016-02-01,7318398.78,2133.164
2016-03-01,7456706.74,43291.54
,,15235.335
,,2179.377
,,536.635
,,2109.519
,,2493.658
,,43210.845
,,14499.779
,,2625.722
,,471.089
,,2346.607
,,2584.325
,,45318.135
