date,Sales
2014-09-01,23201.6
2014-10-01,161523.85
2014-11-01,176353
2014-12-01,151235.65
2015-01-01,159065.7
2015-02-01,213032.1
2015-03-01,215147.45
2015-04-01,289779.2
2015-05-01,269092.15
2015-06-01,264119.45
2015-07-01,287841.75
2015-08-01,184946.75
2015-09-01,250874.1
2015-10-01,276301.7
2015-11-01,189188.3
2015-12-01,282780.1
2016-01-01,254263
2016-02-01,230829.25
2016-03-01,932451
2016-04-01,2065856.85
2016-05-01,1806626.8
2016-06-01,2593047
2016-07-01,2790065.35
2016-08-01,2782378.5
2016-09-01,3572966.1
2016-10-01,3254589.9
2016-11-01,4263699.05
2016-12-01,4351764.9
