date,Sales,
2013-01-01,462370.62,362.096
2013-02-01,415150.27,1583.462
2013-03-01,439883.54,191.476
2013-04-01,506495.83,376.663
2013-05-01,491075.38,1522.261
2013-06-01,552209.82,176.118
2013-07-01,470790.42,376.311
2013-08-01,413588.92,1121.18
2013-09-01,476038.31,182.987
2013-10-01,509437.65,362.87
2013-11-01,578558.98,1348.254
2013-12-01,587159.36,190.956
2014-01-01,459795.95,417.095
2014-02-01,469574.24,1392.341
2014-03-01,525942.89,170.629
2014-04-01,556099.15,334.189
2014-05-01,556619.61,1242.183
2014-06-01,527586.13,187.279
2014-07-01,634160.66,377.266
2014-08-01,469765.96,1732.551
2014-09-01,556789.46,185.283
2014-10-01,555399.49,377.148
2014-11-01,702134.66,1115.553
2014-12-01,702025.85,185.804
2015-01-01,625849.62,450.171
2015-02-01,520297.18,1169.936
2015-03-01,644014.5,185.654
2015-04-01,703806.53,418.12
2015-05-01,561857.78,1402.402
2015-06-01,633725.8,188.135
2015-07-01,758314.5,385.36
2015-08-01,465606.53,1416.856
2015-09-01,627134.72,153.179
2015-10-01,624252.68,338.272
,,1206.613
,,177.187
,,390.226
,,1588.459
,,179.485
,,421.233
,,1432.277
,,163.298
,,353.808
